Distance Squared = 5.963912, compared to 6.091024
Distance Squared = 4.595347, compared to 6.091024
Distance Squared = 3.201849, compared to 6.091024
Distance Squared = 4.107217, compared to 6.091024
Distance Squared = 1.183597, compared to 6.091024
Distance Squared = 4.086592, compared to 6.091024
Distance Squared = 2.299845, compared to 6.091024
Distance Squared = 2.530243, compared to 6.091024
Distance Squared = 3.853410, compared to 6.091024
Distance Squared = 4.835730, compared to 6.091024
Distance Squared = 0.564859, compared to 6.091024
Distance Squared = 3.474050, compared to 6.091024
Distance Squared = 1.458586, compared to 6.091024
Distance Squared = 0.097419, compared to 6.091024
Distance Squared = 3.420848, compared to 6.091024
Distance Squared = 3.487476, compared to 6.091024
Distance Squared = 4.805690, compared to 6.091024
Distance Squared = 5.686300, compared to 6.091024
Distance Squared = 1.720906, compared to 6.091024
Distance Squared = 1.853896, compared to 6.091024
Distance Squared = 5.462051, compared to 6.091024
Distance Squared = 1.568348, compared to 6.091024
Distance Squared = 5.532820, compared to 6.091024
Distance Squared = 0.728374, compared to 6.091024
Distance Squared = 1.272563, compared to 6.091024
Distance Squared = 2.151839, compared to 6.091024
Distance Squared = 1.131947, compared to 6.091024
Distance Squared = 3.924348, compared to 6.091024
Distance Squared = 0.673455, compared to 6.091024
Distance Squared = 0.630602, compared to 6.091024
Distance Squared = 3.695792, compared to 6.091024
Distance Squared = 2.417051, compared to 6.091024
Distance Squared = 5.154500, compared to 6.091024
Distance Squared = 3.834972, compared to 6.091024
Distance Squared = 0.282693, compared to 6.091024
Distance Squared = 1.714732, compared to 6.091024
Distance Squared = 4.910197, compared to 6.091024
Distance Squared = 1.647036, compared to 6.091024
Distance Squared = 3.555532, compared to 6.091024
Distance Squared = 4.206342, compared to 6.091024
Distance Squared = 4.912965, compared to 6.091024
Distance Squared = 5.735026, compared to 6.091024
Distance Squared = 2.495982, compared to 6.091024
Distance Squared = 2.548463, compared to 6.091024
Distance Squared = 5.388058, compared to 6.091024
Distance Squared = 0.702237, compared to 6.091024
Distance Squared = 5.395137, compared to 6.091024
Distance Squared = 1.871164, compared to 6.091024
Distance Squared = 5.454115, compared to 6.091024
Distance Squared = 1.290896, compared to 6.091024
Distance Squared = 1.535665, compared to 6.091024
Distance Squared = 1.053375, compared to 6.091024
Distance Squared = 6.061127, compared to 6.091024
Distance Squared = 3.225761, compared to 6.091024
Distance Squared = 5.473294, compared to 6.091024
Distance Squared = 1.991866, compared to 6.091024
Distance Squared = 3.089707, compared to 6.091024
Distance Squared = 3.982048, compared to 6.091024
Distance Squared = 2.252857, compared to 6.091024
Distance Squared = 3.654320, compared to 6.091024
Distance Squared = 0.589188, compared to 6.091024
Distance Squared = 4.736234, compared to 6.091024
Distance Squared = 4.414448, compared to 6.091024
Distance Squared = 2.678524, compared to 6.091024
Distance Squared = 4.863103, compared to 6.091024
Distance Squared = 3.715618, compared to 6.091024
Distance Squared = 2.625793, compared to 6.091024
Distance Squared = 3.833251, compared to 6.091024
Distance Squared = 4.132514, compared to 6.091024
Distance Squared = 5.511507, compared to 6.091024
Distance Squared = 3.504326, compared to 6.091024
Distance Squared = 3.019112, compared to 6.091024
Distance Squared = 3.361860, compared to 6.091024
Distance Squared = 1.824233, compared to 6.091024
Distance Squared = 4.841091, compared to 6.091024
Distance Squared = 0.259325, compared to 6.091024
Distance Squared = 1.426427, compared to 6.091024
Distance Squared = 2.161790, compared to 6.091024
